time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-24T02:16:48.476Z,-24.2341,-67.0594,212.887,4.5,mb,31,83,1.638,0.65,us,us6000jbdh,2022-12-24T02:34:45.040Z,"75 km W of San Antonio de los Cobres, Argentina",earthquake,9.61,14.258,0.18,9,reviewed,us,us
2022-12-24T01:47:09.698Z,-5.1234,153.3046,40.437,4.7,mb,23,128,1.466,0.73,us,us6000jbdf,2022-12-24T02:23:27.040Z,"143 km SE of Kokopo, Papua New Guinea",earthquake,12.19,7.84,0.129,18,reviewed,us,us
2022-12-24T01:39:51.776Z,44.0909,148.1815,57.073,4.6,mb,45,169,4.025,0.59,us,us6000jbdc,2022-12-24T01:57:44.040Z,"121 km ENE of Shikotan, Russia",earthquake,9.06,5.403,0.068,65,reviewed,us,us
2022-12-24T00:53:00.192Z,-6.9566,129.7997,122.983,4.8,mb,53,92,1.803,0.64,us,us6000jbd3,2022-12-24T01:21:05.040Z,"Banda Sea",earthquake,3.38,7.326,0.085,43,reviewed,us,us
2022-12-23T21:17:58.678Z,23.1115,121.2367,13.935,4.8,mww,51,105,0.285,0.61,us,us6000jbcc,2022-12-24T23:54:46.240Z,"",earthquake,4.11,4.25,0.093,11,reviewed,us,us
2022-12-23T20:03:52.231Z,-45.5518,-76.6975,10.596,5.3,mww,69,103,2.282,0.88,us,us6000jbc1,2022-12-23T20:28:29.040Z,"Off the coast of Aisen, Chile",earthquake,8.29,3.485,0.086,13,reviewed,us,us
2022-12-23T17:23:17.689Z,54.7522,160.0417,124.822,4.9,mb,60,125,1.918,0.8,us,us6000jbbe,2022-12-23T17:40:23.040Z,"91 km E of Mil’kovo, Russia",earthquake,10.44,9.037,0.051,121,reviewed,us,us
2022-12-23T15:25:11.933Z,-20.1014,-173.4627,10,4.8,mb,20,164,1.946,0.65,us,us6000jbb0,2022-12-23T17:02:40.040Z,"98 km ESE of Pangai, Tonga",earthquake,11.24,1.943,0.135,17,reviewed,us,us
2022-12-23T14:13:57.299Z,32.1452,142.6354,10,4.5,mb,41,123,2.57,0.44,us,us6000jbal,2022-12-24T06:06:05.040Z,"Izu Islands, Japan region",earthquake,5.21,1.897,0.105,28,reviewed,us,us
2022-12-23T09:53:55.004Z,-49.1328,-8.1313,10,4.9,mb,28,56,18.243,0.42,us,us6000jbaa,2022-12-23T14:54:35.040Z,"southern Mid-Atlantic Ridge",earthquake,8.93,1.744,0.112,25,reviewed,us,us
2022-12-23T08:39:24.048Z,-65.3807,-179.7939,10,5.8,mww,47,128,13.162,0.53,us,us6000jb9k,2022-12-24T08:43:21.841Z,"Pacific-Antarctic Ridge",earthquake,13.21,1.908,0.083,14,reviewed,us,us
2022-12-23T07:18:23.305Z,-6.3663,154.8523,96.488,4.7,mb,43,69,5.898,0.44,us,us6000jb94,2022-12-23T07:37:29.040Z,"Bougainville region, Papua New Guinea",earthquake,8.2,6.985,0.095,34,reviewed,us,us
2022-12-23T03:52:33.152Z,-1.2604,-13.9343,10,4.5,mb,26,81,6.642,0.81,us,us6000jb9m,2022-12-23T22:32:21.040Z,"north of Ascension Island",earthquake,11.56,1.897,0.121,20,reviewed,us,us
2022-12-23T00:52:07.982Z,-2.9108,127.6705,35,4.7,mb,47,62,3.671,0.45,us,us6000jb80,2022-12-24T23:46:22.040Z,"103 km NNW of Ambon, Indonesia",earthquake,6.08,1.863,0.104,28,reviewed,us,us
2022-12-22T17:38:30.044Z,-61.4802,-57.1762,10,4.9,mb,34,80,1.036,1.04,us,us6000jb4a,2022-12-22T18:11:30.040Z,"South Shetland Islands",earthquake,6.93,1.825,0.123,21,reviewed,us,us
